symbol,localsymbol,osid,tradedate,previoustradedate,close
HDS.IN,HDFCLIFE,3153738,20190530,20190529,435.6
WIP.IN,WIPRO,3022645,20190530,20190529,8739.9
REL.IN,RELIANCE,3023127,20190530,20190529,8974.22
WIP.IN,WIPRO,3022645,20190531,20190530,8691.34
REL.IN,RELIANCE,3023127,20190531,20190530,8976.92
ILC.IN,IDEA,3094236,20190531,20190530,23.1
HDS.IN,HDFCLIFE,3153738,20190531,20190530,441.65
ILC.IN,IDEA,3094236,20190603,20190531,23.18
HDS.IN,HDFCLIFE,3153738,20190603,20190531,444
WIP.IN,WIPRO,3022645,20190603,20190531,8840.05
REL.IN,RELIANCE,3023127,20190603,20190531,9179.72
WIP.IN,WIPRO,3022645,20190604,20190603,8914.4
REL.IN,RELIANCE,3023127,20190604,20190603,9122.02
ILC.IN,IDEA,3094236,20190604,20190603,22.93
HDS.IN,HDFCLIFE,3153738,20190604,20190603,442.7
ILC.IN,IDEA,3094236,20190606,20190604,22.27
HDS.IN,HDFCLIFE,3153738,20190606,20190604,442.25
WIP.IN,WIPRO,3022645,20190606,20190604,8846.12
REL.IN,RELIANCE,3023127,20190606,20190604,8958.02
WIP.IN,WIPRO,3022645,20190607,20190606,8953.85
REL.IN,RELIANCE,3023127,20190607,20190606,8874
ILC.IN,IDEA,3094236,20190607,20190606,22.19
HDS.IN,HDFCLIFE,3153738,20190607,20190606,451.4
ILC.IN,IDEA,3094236,20190610,20190607,21.19
HDS.IN,HDFCLIFE,3153738,20190610,20190607,450.15
WIP.IN,WIPRO,3022645,20190610,20190607,9016.06
REL.IN,RELIANCE,3023127,20190610,20190607,8902.68
WIP.IN,WIPRO,3022645,20190611,20190610,9034.27
REL.IN,RELIANCE,3023127,20190611,20190610,8970.17
ILC.IN,IDEA,3094236,20190611,20190610,21.77
HDS.IN,HDFCLIFE,3153738,20190611,20190610,445.3
ILC.IN,IDEA,3094236,20190612,20190611,21.27
HDS.IN,HDFCLIFE,3153738,20190612,20190611,440.95
WIP.IN,WIPRO,3022645,20190612,20190611,9043.37
REL.IN,RELIANCE,3023127,20190612,20190611,8990.41
WIP.IN,WIPRO,3022645,20190613,20190612,9055.51
REL.IN,RELIANCE,3023127,20190613,20190612,8957.34
ILC.IN,IDEA,3094236,20190613,20190612,21.36
HDS.IN,HDFCLIFE,3153738,20190613,20190612,452
ILC.IN,IDEA,3094236,20190614,20190613,20.7
HDS.IN,HDFCLIFE,3153738,20190614,20190613,448.15
WIP.IN,WIPRO,3022645,20190614,20190613,9067.65
REL.IN,RELIANCE,3023127,20190614,20190613,8891.88
WIP.IN,WIPRO,3022645,20190617,20190614,9078.27
REL.IN,RELIANCE,3023127,20190617,20190614,8653.99
ILC.IN,IDEA,3094236,20190617,20190614,20.03
HDS.IN,HDFCLIFE,3153738,20190617,20190614,443.35
ILC.IN,IDEA,3094236,20190618,20190617,19.78
HDS.IN,HDFCLIFE,3153738,20190618,20190617,441.7
WIP.IN,WIPRO,3022645,20190618,20190617,9043.37
REL.IN,RELIANCE,3023127,20190618,20190617,8645.21
WIP.IN,WIPRO,3022645,20190619,20190618,8923.5
REL.IN,RELIANCE,3023127,20190619,20190618,8620.58
ILC.IN,IDEA,3094236,20190619,20190618,18.87
HDS.IN,HDFCLIFE,3153738,20190619,20190618,437.15
ILC.IN,IDEA,3094236,20190620,20190619,19.7
HDS.IN,HDFCLIFE,3153738,20190620,20190619,440.45
WIP.IN,WIPRO,3022645,20190620,20190619,8708.04
REL.IN,RELIANCE,3023127,20190620,20190619,8751.51
WIP.IN,WIPRO,3022645,20190621,20190620,8674.66
REL.IN,RELIANCE,3023127,20190621,20190620,8635.09
ILC.IN,IDEA,3094236,20190621,20190620,20.12
HDS.IN,HDFCLIFE,3153738,20190621,20190620,438.15
ILC.IN,IDEA,3094236,20190624,20190621,20.03
HDS.IN,HDFCLIFE,3153738,20190624,20190621,440.1
WIP.IN,WIPRO,3022645,20190624,20190621,8615.48
REL.IN,RELIANCE,3023127,20190624,20190621,8519.69
WIP.IN,WIPRO,3022645,20190625,20190624,8657.97
REL.IN,RELIANCE,3023127,20190625,20190624,8745.43
ILC.IN,IDEA,3094236,20190625,20190624,20.03
HDS.IN,HDFCLIFE,3153738,20190625,20190624,437.5
ILC.IN,IDEA,3094236,20190626,20190625,20.45
HDS.IN,HDFCLIFE,3153738,20190626,20190625,441.75
WIP.IN,WIPRO,3022645,20190626,20190625,8683.76
REL.IN,RELIANCE,3023127,20190626,20190625,8733.96
WIP.IN,WIPRO,3022645,20190627,20190626,8560.86
REL.IN,RELIANCE,3023127,20190627,20190626,8598.98
ILC.IN,IDEA,3094236,20190627,20190626,20.45
HDS.IN,HDFCLIFE,3153738,20190627,20190626,455.15
ILC.IN,IDEA,3094236,20190628,20190627,20.12
HDS.IN,HDFCLIFE,3153738,20190628,20190627,464.05
WIP.IN,WIPRO,3022645,20190628,20190627,8512.3
REL.IN,RELIANCE,3023127,20190628,20190627,8456.92
WIP.IN,WIPRO,3022645,20190701,20190628,8557.82
REL.IN,RELIANCE,3023127,20190701,20190628,8563.21
ILC.IN,IDEA,3094236,20190701,20190628,19.87
HDS.IN,HDFCLIFE,3153738,20190701,20190628,469.5
ILC.IN,IDEA,3094236,20190702,20190701,19.37
HDS.IN,HDFCLIFE,3153738,20190702,20190701,469.8
WIP.IN,WIPRO,3022645,20190702,20190701,8626.1
REL.IN,RELIANCE,3023127,20190702,20190701,8628.34
WIP.IN,WIPRO,3022645,20190703,20190702,8583.62
REL.IN,RELIANCE,3023127,20190703,20190702,8655.67
ILC.IN,IDEA,3094236,20190703,20190702,19.78
HDS.IN,HDFCLIFE,3153738,20190703,20190702,479.25
ILC.IN,IDEA,3094236,20190704,20190703,20.45
HDS.IN,HDFCLIFE,3153738,20190704,20190703,489.1
WIP.IN,WIPRO,3022645,20190704,20190703,8613.97
REL.IN,RELIANCE,3023127,20190704,20190703,8665.46
WIP.IN,WIPRO,3022645,20190705,20190704,8249.8
REL.IN,RELIANCE,3023127,20190705,20190704,8526.1
ILC.IN,IDEA,3094236,20190705,20190704,19.87
HDS.IN,HDFCLIFE,3153738,20190705,20190704,473.75
ILC.IN,IDEA,3094236,20190708,20190705,18.96
HDS.IN,HDFCLIFE,3153738,20190708,20190705,462.75
WIP.IN,WIPRO,3022645,20190708,20190705,8099.58
REL.IN,RELIANCE,3023127,20190708,20190705,8449.84
WIP.IN,WIPRO,3022645,20190709,20190708,8057.1
REL.IN,RELIANCE,3023127,20190709,20190708,8639.14
ILC.IN,IDEA,3094236,20190709,20190708,18.79
HDS.IN,HDFCLIFE,3153738,20190709,20190708,455.75
ILC.IN,IDEA,3094236,20190710,20190709,18.63
HDS.IN,HDFCLIFE,3153738,20190710,20190709,455.75
WIP.IN,WIPRO,3022645,20190710,20190709,8101.1
REL.IN,RELIANCE,3023127,20190710,20190709,8630.7
WIP.IN,WIPRO,3022645,20190711,20190710,8125.38
REL.IN,RELIANCE,3023127,20190711,20190710,8648.92
ILC.IN,IDEA,3094236,20190711,20190710,19.29
HDS.IN,HDFCLIFE,3153738,20190711,20190710,467.8
ILC.IN,IDEA,3094236,20190712,20190711,19.37
HDS.IN,HDFCLIFE,3153738,20190712,20190711,481.75
WIP.IN,WIPRO,3022645,20190712,20190711,7858.33
REL.IN,RELIANCE,3023127,20190712,20190711,8641.84
WIP.IN,WIPRO,3022645,20190715,20190712,7887.15
REL.IN,RELIANCE,3023127,20190715,20190712,8612.14
ILC.IN,IDEA,3094236,20190715,20190712,19.45
HDS.IN,HDFCLIFE,3153738,20190715,20190712,491.1
ILC.IN,IDEA,3094236,20190716,20190715,19.54
HDS.IN,HDFCLIFE,3153738,20190716,20190715,491.05
WIP.IN,WIPRO,3022645,20190716,20190715,7890.19
REL.IN,RELIANCE,3023127,20190716,20190715,8726.2
WIP.IN,WIPRO,3022645,20190717,20190716,7878.05
REL.IN,RELIANCE,3023127,20190717,20190716,8650.95
ILC.IN,IDEA,3094236,20190717,20190716,19.78
HDS.IN,HDFCLIFE,3153738,20190717,20190716,497.15
ILC.IN,IDEA,3094236,20190718,20190717,18.71
HDS.IN,HDFCLIFE,3153738,20190718,20190717,503.55
WIP.IN,WIPRO,3022645,20190718,20190717,8166.35
REL.IN,RELIANCE,3023127,20190718,20190717,8515.97
WIP.IN,WIPRO,3022645,20190719,20190718,8032.82
REL.IN,RELIANCE,3023127,20190719,20190718,8429.25
